Linux 6.6.87.2-microsoft-standard-WSL2 (SkyBook) 	10/07/25 	_x86_64_	(16 CPU)

11:00:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:26      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:26      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:26      14    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:26      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:27     all    1.31    0.00    0.38    0.13    0.00    0.06    0.00    0.00    0.00   98.12
11:00:27       0    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
11:00:27       1    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
11:00:27       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:27       3    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:00:27       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:27       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:27       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:27       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:27       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:27       9    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
11:00:27      10   18.18    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   78.79
11:00:27      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:27      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:27      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:27      14    0.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
11:00:27      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:28     all    6.44    0.00    0.38    0.00    0.00    0.12    0.00    0.00    0.00   93.06
11:00:28       0    0.00    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   98.02
11:00:28       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:28       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:28       3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:28       4    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:00:28       5    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:28       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:28       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:28       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:28       9    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
11:00:28      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:00:28      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:28      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:28      13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
